timestamp,temperature
20250105T1600,9.040245
20250105T1700,8.470245
20250105T1800,7.670245
20250105T1900,7.400245
20250105T2000,6.790245
20250105T2100,6.3402452
20250105T2200,5.520245
20250105T2300,5.3102455
20250106T0000,4.9302454
20250106T0100,4.630245
20250106T0200,4.380245
20250106T0300,4.4102454
20250106T0400,4.4302454
20250106T0500,4.7002454
20250106T0600,4.940245
20250106T0700,4.980245
20250106T0800,5.440245
20250106T0900,7.2802453
20250106T1000,9.170245
20250106T1100,11.200245
20250106T1200,12.600245
20250106T1300,13.370245
20250106T1400,12.910245
20250106T1500,12.970245
20250106T1600,11.930245
20250106T1700,10.940246
20250106T1800,9.960245
20250106T1900,9.410245
20250106T2000,8.950245
20250106T2100,8.480246
20250106T2200,8.070246
20250106T2300,7.7002454
20250107T0000,7.4102454
20250107T0100,7.210245
20250107T0200,7.0802455
20250107T0300,6.900245
20250107T0400,6.6402454
20250107T0500,6.3402452
20250107T0600,6.1802454
20250107T0700,6.110245
20250107T0800,6.210245
20250107T0900,6.380245
20250107T1000,6.4302454
20250107T1100,6.3902454
20250107T1200,6.5702453
20250107T1300,6.790245
20250107T1400,6.6002455
20250107T1500,6.3502455
20250107T1600,5.8702455
20250107T1700,5.5802455
20250107T1800,5.4102454
20250107T1900,5.6002455
20250107T2000,5.770245
20250107T2100,5.420245
20250107T2200,5.0102453
20250107T2300,5.250245
20250108T0000,6.020245
20250108T0100,6.940245
20250108T0200,7.440245
20250108T0300,7.6202455
20250108T0400,7.5102453
20250108T0500,7.170245
20250108T0600,7.000245
20250108T0700,6.960245
20250108T0800,6.9702454
20250108T0900,7.0702453
20250108T1000,6.2602453
20250108T1100,6.730245
20250108T1200,7.5302453
20250108T1300,8.410246
20250108T1400,10.220245
20250108T1500,11.470245
20250108T1600,11.620245
20250108T1700,11.480246
20250108T1800,12.160245
20250108T1900,13.150246
20250108T2000,13.260245
20250108T2100,13.270246
20250108T2200,11.960245
20250108T2300,11.510245
20250109T0000,11.460245
20250109T0100,11.390245
20250109T0200,11.040245
20250109T0300,10.990245
20250109T0400,11.170245
20250109T0500,11.290245
20250109T0600,11.640245
20250109T0700,11.720245
20250109T0800,12.010245
20250109T0900,12.580245
20250109T1000,12.390245
20250109T1100,12.020246
20250109T1200,12.450245
20250109T1300,12.690246
20250109T1400,12.340245
20250109T1500,11.270246
20250109T1600,8.5602455
